scaffold_1	784636	790636
scaffold_1	792636	798636
scaffold_1	822636	851636
scaffold_1	5587620	5593620
scaffold_1	5652620	5656620
scaffold_1	5959620	5964620
scaffold_1	6109620	6117620
scaffold_1	6118620	6122620
scaffold_1	6380620	6394620
scaffold_1	6486620	6491620
scaffold_1	6494620	6520620
scaffold_1	6550620	6556620
scaffold_1	6897620	6902620
scaffold_1	7719310	7724310
scaffold_1	7764310	7788310
scaffold_1	7827310	7840310
scaffold_1	7843310	7847310
scaffold_1	7848310	7852310
scaffold_1	7877310	7881310
scaffold_1	8607310	8612310
scaffold_1	9218310	9221310
scaffold_1	11281600	11284600
scaffold_1	11447600	11450600
scaffold_1	11610600	11613600
scaffold_1	12018600	12021600
scaffold_1	13473600	13478600
scaffold_1	13557600	13560600
scaffold_1	13567600	13570600
scaffold_1	14776200	14780200
scaffold_1	14785200	14792200
scaffold_1	16603300	16608300
scaffold_1	18057300	18062300
scaffold_1	18065300	18068300
scaffold_1	18069300	18086300
scaffold_1	18902200	18908200
scaffold_1	18923200	18928200
scaffold_1	18992200	18997200
scaffold_1	19005200	19011200
scaffold_1	19012200	19015200
scaffold_1	19162200	19167200
scaffold_1	19201200	19207200
scaffold_1	19211200	19214200
scaffold_1	19239200	19244200
scaffold_1	20236300	20239300
scaffold_1	20369300	20374300
scaffold_1	20452300	20458300
scaffold_1	21193200	21198200
scaffold_1	22144200	22147200
scaffold_1	22508200	22516200
scaffold_1	22589200	22593200
scaffold_1	23437600	23440600
scaffold_1	23510600	23516600
scaffold_1	23535600	23538600
scaffold_1	23566600	23569600
scaffold_1	24160600	24163600
scaffold_1	25103300	25106300
scaffold_1	25499300	25511300
scaffold_1	25534300	25537300
scaffold_1	25539300	25542300
scaffold_1	25577300	25581300
scaffold_1	25748300	25751300
scaffold_1	25800300	25805300
scaffold_1	25979300	25983300
scaffold_1	26623300	26629300
scaffold_1	27102300	27107300
scaffold_1	27630300	27636300
scaffold_1	27776300	27781300
scaffold_1	29462000	29465000
scaffold_1	29913000	29916000
scaffold_1	30152000	30157000
scaffold_1	30261000	30266100
scaffold_1	31058100	31062100
scaffold_1	33063000	33067000
scaffold_1	33069000	33086000
